Date,Day,AWND,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT08
2025-03-31,Day 1,4.850648,-0.014450342,50.05809,55.62997,46.709236,214.00587,209.0826,21.967213,23.266457,0.91735876,1.1474227
2025-04-01,Day 2,4.9371405,-0.02152684,50.26076,56.20019,46.77091,218.61092,212.57271,22.13895,23.667606,0.9158751,1.1439185
2025-04-02,Day 3,4.9707503,-0.025293631,50.336994,56.557323,46.841568,221.39857,213.8883,22.35253,23.681404,0.9156675,1.1374373
2025-04-03,Day 4,4.9888234,-0.028425492,50.38612,56.75766,46.89134,222.705,214.21922,22.472002,23.600706,0.915555,1.1302439
2025-04-04,Day 5,5.0014787,-0.030657291,50.411568,56.854244,46.9165,223.22679,214.15489,22.526167,23.494312,0.91540045,1.1242002
2025-04-05,Day 6,5.0100203,-0.03215151,50.421967,56.88868,46.923645,223.33862,213.94395,22.541962,23.39095,0.91515917,1.1195903
2025-04-06,Day 7,5.014613,-0.03311568,50.42367,56.88928,46.91976,223.24805,213.69255,22.53725,23.300692,0.91487825,1.1162204
